0,1,2,3,4,5
, , , ,es,Number of
,AYr >ased un cu,resting,AY: va,State granted,districts
,State included scores of,State granted,State inclu... -cores of,exceptions to,granted
,students taking alternate,exceptions to,students taking alternate,districts to,exceptions
,assessments based on,districts to,assessments based on,exceed 1% cap,5
,alternate achievement,exceed 1% cap,alternate achievement,Respondent,na
,standards,No,standards,unsure,~100
,Yes,, ,No,na
,Yes,,Yes,No,na
,Yes,,Yes,No,na
,Yes,,Yes,No,na
,Yes,,Yes,Yes,na
,Yes,,Yes,No,na
,Yes,,Yes,,14
,Yes,,Yes,,na
,Yes,,Yes,,Respondent
,Yes,,Yes,,unsure
,Yes,,Yes,,na
,Yes,,Yes,,na
,Yes,,Yes,,53
,Yes,,Yes,,Respondent
,Yes,,Yes,,unsure
,Yes,,Yes,,na
,Yes,,Yes,,Respondent
,Yes,,Yes,,unsure
,Yes,,Yes,,na
,,,Yes,,
,,,,,
