0,1,2,3,4,5,6
Region ind state, , ,‘Ac al,2009-10,"Pre, d",2012-13
United States,2003-04,2004-05,2005-06 2006-07 2007-08 2008-09,"3,068,550",2010-11 2011-12,"092,290"
Northeast,"2,753,438",",799,25C","1,815,544 2,893,045 3,001,337 3,039,015",,"3,103,540 3,100,510","549,890"
Connecticut,,"503,528","521,015 536,697 552,289 552,973",,"560,500 554,690",
Maine,,,"36,222 37,541 38,419 34,968",, ,
Massachusetts,,,"12,950 13,151 14,350 14,093",,"7,110 7,000",
New Hampshire,,,"61,272 63,903 65,197 65,258",,"108,010 105,130",
New Jersey,,,"13,988 14,452 14,982 14,757",,"8,550 8,400",
New York,,,"90,049 93,013 94,994 95,085",,"63,600 63,190",
Pennsylvania,,,"161,817 168,333 176,310 180,917",,"1,108,150 1,111,310",
Rhode Island,,,"127,830 128,603 130,298 130,658",,,
Vermont,,,"10,108 10,384 10,347 10,028",,,
Midwest,,,"6,779 7,317 7,392 7,209",,,
Illinois,,,"684,049 702,987 721,220 717,536",,,
Indiana,,,"126,817 130,220 135,143 131,670",,,
lowa,,,"57,920 59,887 61,901 63,663",,,
Kansas,,,"33,693 34,127 34,573 33,926",,,
Michigan,,,"29,818 30,139 30,737 30,368",,,
Minnesota,,,"102,582 111,838 115,183 112,742",,,
Missouri,,,"58,898 59,497 60,409 59,729",,,
Nebraska,,,"58,417 60,275 61,717 62,969",,,
North Dakota,,,"19,764 19,873 20,035 19,501",,,
Ohio,,,"7,192 7,159 «6,999 7,232",,,
South Dakota,,,"117,356 117,658 120,758 122,203",,,
Wisconsin,,,"8,589 8346 8582 8,123",,,
South,,,"63,003 63,968 65,183 65,410",,,
Alabama,,,"962,327 986,801 1,031,773 1,068,270",,,
Arkansas,,,"37,918 38,912 41,346 42,082",,,
Delaware,,,"28,790 27,166 28,725 28,057",,,
District of Columaie,,,"7,275 = 7,205~=— 7,388 7,839",,,
Florida,,,"3,150 2,944 3,352 3,517",,,
Georgia,,,"134,686 142,284 149,046 153,461",,,
Kentucky,,,"73,498 77,829 83,505 88,003",,,
Louisiana,,,"38,449 39,099 39,339 41,851",,,
Maryland,,,"33,275 34,274 «34,401 35,622",,,
Mississippi,,,"55,536 57,564 59,171 58,304",,,
North Carolina,,,"23,848 24,186 24,795 24,505",,,
Oklahoma,,,"76,710 76,031 83,307 86,712",,,
South Carolina,,,"36,497 37,100 37,630 37,219",,,
Tennessee,,,"34,970 35,108 35,303 39,114",,,
Texas.,,,"50,880 54,502 57,486 60,368",,,
Virginia,,,"240,485 241,193 252,121 264,275",,,
West Virginia,,,"69,597 73,997 77,369 79,651",,,
West,,,"16,763 17,407 17,489 ‘17,690",,,
Alaska,,,"648,153 666,560 696,055 700,236",,,
Arizona,,,"7,361 7,666 7,855 8,008",,,
California,,,"54,091 55,954 61,667 62,374",,,
Colorado,,,"343,515 356,641 374,561 372,310",,,
Hawaii,,,"44,424 45,628 46,082 «47,459",,,
Idaho,,,"10,922 11,063 11,613 11,508",,,
Montana,,,"16,096 16,242 16,567 16,807",,,
Nevada,,,"10,283 10,122 10,396 10,077",,,
New Mexico,,,"16,455 17,149 18,815 19,904",,,
Oregon,,,"17,822 16,131 18,264 17,931",,,
Utah,,,"32,394 33,446 «34,949 35,138",,,
Washington,,,"29,050 28,276 28,167 30,463",,,
Wyoming,,,"60,213 62,801 61,625 62,764.",,,
,,,"5527 5,441 5,494 5,493",,,
,,, ,,,
,,,,,,
