0,1,2,3,4,5,6,7,8
Characteristic,Total occupied,"1,638",No.,(95% Cl),Total occupied -,"1,704", ,(95% Cl)
Sex,housing units,508,"2,862", ,housing units,577,(%),(1.1-1.2)
Male,"61,206",548,"2,909", ,"60,721",512,(,(1.7-2.3
Female,"49,486",95,"3,174",,"51,084",7,(,(2.0-2.7)
Race/Ethnicity,"78,744,",18,966,,"79,333",27,(,(0.8-1.5
"White, non-Hispanic","12,609","1,536","1,292",,"12,739","1,518",(,(1.1-3.4)
Hispanic,"13,437",458,174,,"13,609",414,Sas,(1.8-2.7)
"Black, non-Hispanic","4,050",744,51,,"4,181",716,a > ¥,(2.1-3.2
Asian/Pacific Islander,707,79,(%),,730,75,BO2ees,(0.8-1.7)
American Indian/Alaska,"45,116",32,(4.7),,"44,537",27,g,(0.9-4.8)
Native,"7,086",2771,(5.9),,"7,160","2,615",Unadjusted OR,(1.4-2.2)
"Sex, by race/ethnicity","5,545","1,650",(4.0),,"5,520",4711,Ref.,(1.8-2.6)
Male,"2,536",700,(7.7),,"2,577",663,Ww,(0.7-1.8)
"White, non-Hispanic",348,650,(9.6),,352,768,Ref.,(0.7-3.9)
Hispanic,"33,628","1,507",(43),,"34,795","1,278",2.0,(3.2-4.6)
"Black, non-Hispanic","5,523","1,564",(7.2),,"5,580","1,770",23,(2.1-3.1)
Asian/Pacific Islander,"7,892","2,700", ,,"8,090","2,709",Ww,(1.2-1.9)
American Indian/,"1,514","1,096",Unadjusted OR,,"1,604","1,320",19,(1.8-2.5)
Alaska Native,359,"1,063",Ref.,,378,"1,092",Ref.,(1.3-1.6)
Female,"46,912","2,554",Ww,,"49,240","2,332",2.2,(1.3-1.9)
"White, non-Hispanic","31,170","1,058",Ref.,,"29,757","1,013",26,(0.9-1.3)
Hispanic,"18,985",245,2.0,,"18,557",226,12,(1.2-1.6)
"Black, non-Hispanic","31,137","5,526",25,,"32,558","5,531",21,(0.9-1.6)
Asian/Pacific Islander,"16,779","5,771",Ww,,"15,229","5,757",Ref.,
‘American Indian/,"30,559", ,18,,"30,692",,18,
Alaska Native,"63,354",,Ref.,,"65,884",,21,
Annual income ($),"23,128",,21,,"23,316",,Ww,
"<24,999","29,202",,29,,"29,403",,17,
"25,000-49,999","48,324",,10,,"49,372",,3.8,
"50,000-74,999","27,550",,15,,"28,021",,25,
"275,000","3,657",,Ref.,,"3,647",,15,
Education level,"107,035",,19,,"108,151",,Ref.,
Less than high school,"110,692",,2.2,,"111,800",,21,
High school diploma,,,12,,No.,,14,
Any college education,,,21,, ,,Ref.,
USS. Census region,,,49,,"2,962",,16,
Northeast,,,26,,"2,795",,10,
Midwest,,,18,,"3,222",,15,
South,,,Ref.,,991,,Ref.,
West,,,2.2,,"1,228",,,
Disability status,,,12,,192,,,
Yes,,,Ref.,,55,,,
No,,,13,,,,,
Total,,,10,,,,,
ak,,,15,,,,,
‘F,,,Ref.,,,,,
  ,,,13,,,,,
,,,Ref.,,,,,
,,,,,,,,
