0,1,2,3,4,5
Measure,Age 3, , ,1,“ |
"Language, Literacy, and Pre-Writing",(Head Start, ,,Grade,Grade
Color Ident ion,Year),| [FF,,LNA, 
Pre-Writing (McCarthy Draw a Design),0.14,Zz,,NAL,NA
Emergent Literacy Scale (parent report),0.35,S,,NAL, 
Letter Naming,0.24, ,,NAL,NA
Test of Phonological Processing (CTOPPP Elision),0.10,Zz,,NA, 
Receptive Vocabulary (PPVT),0.18,S,, ,NA
Letter-Word Identification (WJIID),0.26, ,, , 
Spelling (WJIID, ,Zz,, ,NA
Oral Comprehension (WJIID), ,S,,NA, 
Pre-Academic Skills (WJIID),, ,,NA,NA
Phonetic Skills/Word Attack (WJIID,,Zz,,, 
Basic Reading (WJIII),,S,,, 
Academic Applications (WJIID),, ,,,NA
Academic Skills (WJIID,,Zz,,,NA
ge Comprehe: n (WJIID),,S,,, 
ECL Reading,, ,,, 
Writing Sample (WJIII),,ZIZ,,,NA
Spanish Language,,Sle,,, 
Receptive Vocabulary (TVIP),,,,, 
Bateria WM Identificacién de letras y palabras,,,,, 
Math,,,,, 
Or One Counting/Counting Bears,,,,, 
Applied Problems (WJII),,,,, 
Quantitative Concepts (WJIID),,,,, 
Math Reasoning (WJIID),,,,, 
Calculation (WJIID),,,,, 
School Performance,,,,, 
School Accomplishments,,,,,
Promotion (parent report),,,,,
Language and Literacy Ability,,,,,
Math Ability,,,,,
Math Ski,,,,,
Reading/Language Arts Skill:,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
  ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
 ,,,,,
,,,,,
