0,1,2,3,4
Air passengers rights,Fee movement of,lEnquiries,Treaty reform /1GC/,enquiries
Spain,"lenquiries , [persons / workers",153|,Lisbon Treaty,91
3ermany, ,119],Germany,85]
Inited Kingdom,268| [Spain,114],Spain,74
rance, ,99],United Kingdom.,56
taly,233| [Germany,82|,Belgium,46
Vetherlands, ,49|,France,37
Bel;,139] [United kingdom,45|,Italy,_3)|
ortugal, ,40|,Netherlands,“29°
Austria, ,26,Ireland,“17
jum, ,23,Austria,16)
 , ,22|,Sweden,11
inland, ,20,Portugal, 
Sreece, ,10,Finland, 
reland, , ,Denmark, 
Denmark, , ,Greece, 
Sweden, ,,Luxembourg, 
suxembourg, ,,Total EU-15, 
Total EU-15,136| [France,,Poland, 
dungary,92| [Italy,,Czech Republ, 
Yomania,79| [Belgium,,Romania, 
yprus,66| [Netherlands,,Cyprus, 
Bulgaria,44| [Greece,,Hungary, 
 ,28| [Portugal,,Bulgaria, 
atvia,25| ireland,,Lithuani, 
 ,22) [Austria,, , 
jon-EU,14] [Sweden,, , 
Inspecified,12) [Finland,, , 
Grand Total, ,,Latvia,196|
,11] [Denmark,, ,855
,9] [Luxembourg,,Slovenia, 
,1.178| [Total EU-15,,Malta, 
,17| [Bulgaria,,Total EU-12, 
,16] [Romania,,non-EU,
,12) [Cyprus,,Unspecified,
,9| [Poland,,Grand Total,
,7| [Czech Republic,,,
,7| [Hungary,,,
,7| [Latvia,,,
,5| [Slovakia,,,
,3,,,
,3,,,
,2,,,
,8,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
,Lithuania,,,
, ,,,
,Estonia,,,
, ,,,
,Slovenia,,,
,Malta,,,
,97| [Total EU-12,,,
,363| [non-EU,,,
,1.726| [Unspecified,,,
,drand Total,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
,,,,
