0,1,2
\able A-1.  summar,Assumption,Remains en 17.
 , ,Remains b en 10.
Variable,Projections are consistent with the Census Bureau estimates,Remains between 5.3% and 7.9%
 ,Census Bureau projection: average annual growth rate of 0.1%,Remains between 14.3% and 19.6%
"Demographic assum,",Census Bureau projection: average annual growth rate of 0.6%,Remains between 9.3% and 13.1%
Population,Census Bureau projection: average annual growth rate of 1.3%,Remains between 5.0% and 7.3%
18- to 24-year-old population,Census Bureau projection: average annual growth rate of 0.6%, 
25- to 29-year-old population,Annual percent changes 1, 
30- to 34-year-old population,Annual percent char,
35- to 44-year-old population,,
omic assumptions,,
sable income per capita in,,
dollars,,
evenue receipts froms te,,
ber capita in constant _Wllar_,,
Jnemployment rate (men),,
Ages 18 and 19,,
Ages 20 to 24,,
Age 25 and over,,
Unemployment rate (women),,
Ages 18 and 19,,
Ages 20 to 24,,
Age 25 and over,,
   ,,
,,
