0,1,2,3
Groups”,Butter,Margarine,Low fat products
Astra Calvé,Total: 0%,Total: 47%,Total: 39%
Besnier,Total: 18.1%,"<Fruit d’ or, Plantafin,",Fruit d’ or (8.4%)
Cema,Bfpridel (4.4%),"Equilibre, Effi, Astra, ...)",Effi (10.5%)
CLE,Président (13.5%),Total: 0%,Plantafin (20.1%)
Laita, ,Primevére (1.3%),Total: 9.5%
Vedial,Vire (6.7%),Total: 19%,Bridélight (5.6%)
Own brands,Paysan Breton (6.3%),"(Prima, St Hubert 41, Le",Bridélice (3.2%)
Others:,Total: 0%,"Fleurier,Mr Tournesol,",Président (0.7%)
,26.9%,Tournolive...),Total: 34.8%
,42.2%,19.4%,Prima (3.3%)
,,13.3%,St Hubert 41 (18.7%)
,,,Le Fleurier (12.8%)
,,,T%
,,,9.7%
,,,
