0,1,2,3
content standards,Alternate Assessment,Alternate Assessment,Alternate Assessment
taught and,Based on Grade-Level,Based on Modified,Based on Alternate
lassessed,General Assessment ‘Achievement,Achievement Standards,Achievement
 ,Standards,Grade level,Standards
Achievement,Grade level Grade level,Modified level,Grade level extensions
Vetandards,Grade level Grade level,Students with disabilities,Alternate level
?articipating,All general education Students who need,who can make progress,Students with the most
[students,"students, most alternate ways to show","‘oward, but may not reach,",significant cognitive
,students with mastery of grade-level,yrade-level achievement,disabilities
,disabilities (with or content,standards in the time, 
,without,|irame covered by their IEP,
,accommodations),,
,,,
