0,1,2,3,4
 ,, ,Public,Private
Year,,Total, ,15.5
Actual,,16.9,171,15.2
1996,,16.6,16.8,15.0
1997,,16.3,16.4,14.7
1998,,15.9,16.1,14.5
1999,,15.9,16.0,14.3
2000,,15.7,15.9,14.41
2001,,15.7,15.9,13.8
2002,,15.7,15.9,13.7
2003,,15.5,15.8,13.5
2004,,15.4,15.6,13.2
2005,,15.3,15.6,13.0
2006,,15.2,15.5,12.8
2007,,15.0,15.3,12.5
2008,,15.0,15.4,12.4
2009,,15.0,15.2,12.3
2010,,14.9,15.2,12.3
Projected,,14.8,15.2,12.3
2011,,14.8,15.1,12.2
2012,,14.7,15.0,12.1
2013,,14.6,14.9,12.1
2014,,14.5,14.8,12.0
2015,,14.4,14.7,11.9
2016,,14.3,14.6,11.8
2017,,14.2,14.5,11.7
2018,,14.1,14.4,11.7
2019,,14.1,14.4,
2020,,,,
2021,,,,
 ,,,,
,,,,
