0,1,2
Education system,vom: 2!,
Australia, ,
Austria, ,
Azerbaijan,Combinea,
Belgium (French)-BE,Percentage of reighted school,
Bulgaria,international ational desired weighted school __ Weighted school participation,
Canada,desired population 0pulation overall participation rate >articipation rate Weighted student and student,
Chinese Taipei-CHN,coverage __exclusion rate_before substitution after substitution __response rate —_response rate,
Colombia,"100 4 96 98 95 93,",
Croatia,100 5 100 100 98 98,
Czech Republic,100 7 84 100 100 100,
Denmark,100 6 7 85 97 82,
England-GBR,100 3 97 100 95 95,
Finland,100 10 98 98 96 94,
France,100 1 100 100 99 99,
Georgia,100 2 89 99 97 95,
Germany,100 8 99 100 95 95,
Hong Kong-CHN,100 5 90 99 94 94,
Hungary,100 7 87 98 97 95,
Indonesia,100 2 73 87 94 82,
"Iran, Islamic Rep. Of",100 3 97 99 96 95,
Ireland,100 5 98 100 98 97,
Israel,92 5 97 98 98 96,
Italy,100 2 96 99 96 95,
Lithuania,100 12 86 88 94 83,
Malta,100 4 98 99 97 96,
Morocco,100 3 100 100 97 97,
Netherlands,100 5 100 100 99 99,
New Zealand,100 3 98 100 95 95,
Northern Ireland-GBR,"100 25 98 99 94 93,",
Norway,100 4 81 98 96 95,
Oman,"93, 6 94 100 94 94",
Poland,100 4 100 100 95 95,
Portugal,100 2 99 99 96 95,
Qatar,100 4 68 92 97 89,
Romania,"100 3 93, 99 94 93,",
Russian Federation,"100 4 62 85 93, 79",
Saudi Arabia,100 4 57 83 86 71,
Singapore,100 2 98 98 98 96,
Slovak Republic,100 4 100 100 96 96,
Slovenia,"100 3 87 99 95 93,",
Spain,100 6 100 100 99 99,
‘Sweden,100 4 99 100 97 97,
Trinidad and Tobago,100 5 100 100 98 98,
United Arab Emirates,100 2 95 100 98 98,
United States,100 6 100 100 96 96,
ble.,100 5 95 99 97 96,
,100 3 96 97 97 95,
,100 5 96 99 97 96,
,100 4 97 99 92 91,
,100 1 99 99 96 95,
,100 3 100 100 97 97,
,100 7 80 85 96 81,
, ,
,,
