0,1,2,3,4
Measure,Age 4,| IF,Grade,
"Language, Literacy, and Pre-Writing",(Head Start,NA, ,
Color Ident n,Year), , ,
Pre-Writing (McCarthy Draw a Design),0.16,NA, ,
Emergent Literacy Scale (parent report),0.31,NA, ,
Letter Naming,0.25, , ,
Test of Phonological Processing (CTOPPP Elision),0.09, ,NA,
Receptive Vocabulary (PPVT),0.22,NA,NA,
Letter-Word Identification (WJIID),0.15,NA, ,
Spelling (WJIID, , , ,
 , , ,,
 ,0.19,NA,,
Oral Comprehension (WJIII),NA, ,,
Pre-Academic Skills (WJIID),NA,NA,,
ills/ Word Attack (WJIID,NA,NA,,
 ,NA, ,,
Academic Applications (WJIID),NA,NA,,
Academic Skills (WJIID,NA, ,,
ge Comprehension (WJIID),NA,NA,,
ECLS-K Reading, , ,,
Writing Sample (WJIII), ,NA,,
Spanish Language, , ,,
Receptive Vocabulary (TVIP), ,NA,,
Bateria WM Identificacién de letras y palabras, , ,,
Math, ,,,
One-to-One Counting (Counting Bears), ,,,
Applied Problems (WJIII), ,,,
 ,NA,,,
  ,NA,,,
hool Accomplishments,NA,,,
Promotion (parent report), ,,,
Language and Literacy Ability, ,,,
Math Ability, ,,,
Math Skills, ,,,
Reading/Language Arts Skills,NA,,,
Social Studies and Science Ability,NA,,,
,NA,,,
,NA,,,
,NA,,,
,NA,,,
, ,,,
, ,,,
, ,,,
, ,,,
,,,,
