0,1,2,3,4,5,6,7,8,9
Region and state,,2014-15,2015-16,Pr,C,2018-1¢,2019-20,,
United States,,"3,043,290","3,066,000",2016-17,2017-18,"“,155,320","3,136,780",,
Northeast,,"548,450","550,630","3,096,73C","3,148,670",,"546,620",,
Connecticut,,"60,160",,,"554,700",,"60,740",,
Maine,,"43,440",,,,,"1,176,490",,
Massachusetts,,,,,,,"44,260",,
New Hampshire,,,,,,,"29,880",,
New Jersey,,,,,,,,,
New York,,,,,,,,,
Pennsylvania,,,,,,,,,
Rhode Island,,,,,,,,,
Vermont,,,,,,,,,
Midwest,,,,,,,,,
Illinois,,,,,,,,,
Indiana,,,,,,,,,
lowa,,,,,,,,,
Kansas,,,,,,,,,
Michigan,,,,,,,,,
Minnesota,,,,,,,,,
Missouri,,,,,,,,,
Nebraska,,,,,,,,,
North Dakota,,,,,,,,,
Ohio,,,,,,,,,
South Dakota,,,,,,,,,
Wisconsin,,,,,,,,,
South,,,,,,,,,
Alabama,,,,,,,,,
Arkansas,,,,,,,,,
Delaware,,,,,,,,,
District of Columbia,,,,,,,,,
Florida,,,,,,,,,
Georgia,,,,,,,,,
Kentucky,,,,,,,,,
Louisiana,,,,,,,,,
Maryland,,,,,,,,,
Mississippi,,,,,,,,,
North Carolina,,,,,,,,,
Oklahoma,,,,,,,,,
South Carolina,,,,,,,,,
Tennessee,,,,,,,,,
‘Texas:,,,,,,,,,
Virginia,,,,,,,,,
West Virginia,,,,,,,,,
West,,,,,,,,,
Alaska,,,,,,,,,
Arizona,,,,,,,,,
California,,,,,,,,,
Colorado,,,,,,,,,
Hawaii,,,,,,,,,
Idaho,,,,,,,,,
Montana,,,,,,,,,
Nevada,,,,,,,,,
New Mexico,,,,,,,,,
Oregon,,,,,,,,,
Utah,,,,,,,,,
Washington,,,,,,,,,
Wyoming,,,,,,,,,
NOTF:,,,,,,,,,
,,,,,,,,,
