0,1,2,3,4,5
group,Hispanic, ,nic,(95% Cl),Non-Hisf ic
(yrs),Rate (95% Cl),No.,(95% Cl),(15.3-18.7),Rate (95% Cl)
45-54,118 (10.4-13.2), ,(12.6-13.6),(375-448),16.2 (15.6-16.8)
55-64,278 — (25.0-30.7),"2,590",(27.4-29.1),(92.2-108.0),38.4 — (37.4-39.4)
65-74,76.9 — (70.7-83.2),"4,243",(85.1-88.9),273.9-311.6),108.3 (106.0-110.6)
75-84,240.6  (226.3-254.9),"8,256",(328.6-337.0),'531.7-632.1),348.2 (343.1-353.4)
285,742.9 (701.6-784.3),"24,285","(1,094.6-1,116.9)",(62.8-67.5),950.4 (935.3-965.5)
Total,71.8 (69.5-74.2),"38,056",(139.7-141.7),,104.4 (103.5-105.3)
 , ,"77,430",,,
,,Non-His,,,
,, ,,,
,,Rate,,,
,, ,,,
,,13.1,,,
,,28.2,,,
,,87.0,,,
,,332.8,,,
,,1105.8,,,
,,140.7,,,
,,,,,
