0,1,2,3,4,5
rear,Total,,Black,ity,American ‘Two or
Actual,"12,849",,"2,043",Asian/,Indian/ more
1996,"13,056",,"2,068",Pacific,Alaska Native races
1997,"13,195",,"2,073",Hispanic Islander,141 al
1998,"13,371",,"2,106","1,608 526",145 al
1999,"13,517",,"2,119","1,675 552",148 al
2000,"13,736",,"2,173","1,732 572",151 al
2001,"14,069",,"2,257","1,808 587",153 al
2002,"14,339",,"2,334","1,894 601",158 al
2003,"14,618",,"2,408","2,008 619",168 al
2004,"14,909",,"2,490","2,148 642",177 al
2005,"15,081",,"2,540","2,282 663",178 al
2006,"15,087",,"2,571","2,427 686",186 al
2007,"14,980",,"2,565","2,570 709",181 al
2008,"14,955",,"2,540","2,701 720",183 -
2009,"14,860",,"2,422","2,821 736",179 59
2010,"14,787",,"2,373","2,874 746",179 84
Projected,"14,752",,"2,328","2,994 757",171 277
2011,"14,766",,"2,305","3,125 755",168 286
2012,"14,905",,"2,322","3,212 767",165 296
2013,"15,038",,"2,324","3,287 775",165 307
2014,"15,116",,"2,314","3,361 783",167 318
2015,"15,195",,"2,290","3,473 805",168 332
2016,"15,241",,"2,260","3,588, 822",169 344
2017,"15,304",,"2,266","3,691 845",170 353
2018,"15,410",,"2,283","3,794 874",170 364
2019,"15,515",,"2,315","3,889 895",174 372
2020,,,,"3,925, 927",178 381
2021,,,,"3,969 958",182 391
 ,,,,"4,011 983",
,,,,,
