0,1,2,3,4
"DtaUsucs dystem, United >ta", ,No.,Stroke,(95% Cl)
Characteristic,"200,915","82,595",Rate,(42.3-42.9)
Sex,"224,510","54,524",42.6,(43.5-44.3)
Female,"1,880",548,43.9,(26.9-32.0)
Male,"7,570","3,662",294,(35.8-38.2)
Race,"44,530","17,045",37.0,(60.7-62.6)
American Indian/Alaska Native,"371,445","115,864",616,(41.5-42.0)
Asian/ Pacific Islander,"20,939","7,005",a7,(33.4-35.0)
Black,"403,588","129,892",34.2,"(43.8-44,3)"
White,"425,425","137,119",44.0,(43.3-43.8)
Ethnicity, ,,43.6, 
Hispanic,Rate,,,
Non-Hispanic,103.1,,,
Total,176.5,,,
C= confidence in,974,,,
US. standard popul,774A,,,
 ,161.6,,,
,134.2,,,
,106.4,,,
,136.8,,,
,135.0,,,
,Coronary heart aisease,,,
,(95% Cl),,,
,(102.7-103.6),,,
,(175.7-177.2),,,
,(92.8-102.0),,,
,(75.4-78.9),,,
,(160.1-163.1),,,
,(133.8-134.6),,,
, ,,,
,  ,,,
,(104.9-107.8),,,
,(136.4-137.3),,,
,"(134 35,",,,
,  ,,,
,,,,
