0,1,2,3,4
Au:,Current,w Ports,pete,Source
Belgium/Luxembourg,Level*,+14,1990-96,“Regal” 1997
Denmark,79,+1,1988-92,AIM
Finland,57, ,1990-96,“Food B
France,(78), ,1988-92,"Nielson, Finland, 1997"
Germany,96,13,1988-92,AIM
Greece,67.2,+7,1988-92,AIM
 ,75.2,+10,1988-92,The Retail Pocket Book 1998
Ireland,(59), ,1985-96, 
[taly,50, ,1988-92,AIM
Netherlands,30, ,,Supermarket Svenska
Portugal,79, ,,"Detaljhandel, 1997, for Food"
Spain,52,+11,,and Daily Goods
Sweden,38,+24,,AIM
UK,87, ,,
, , ,,
, ,+7,,
, , ,,
,67,,,
, ,,,
,,,,
