Schools Sampled
Eligible schools in original Total _ students in
Benchmarking Schools in in original sample that Substitute schools that _participating Students
education systems original sample sample __ participated schools _ participated schools assessed
"Alberta-CAN 150 147 143 2 145 4,292 3,789"
"Ontario-CAN 200 191 188 1 189 4,932 4,561"
"Quebec-CAN 200 197 189 1 190 4,529 4,244"
"Maltese-MLT 99 95 95 0 95 3,942 3,548"
"Andalusia-ESP 150 150 149 0 149 4,652 4,333"
"Abu Dhabi-UAE 168 165 164 0 164 4,308 4,146"
"Dubai-UAE 152 139 138 0 138 6,497 6,061"
"Florida-USA 81 80 77 0 7 3,052 2,598"
NOTE: Fducatinn evstems in the Souther hemisnhere administered PIRI S 2011 in the fall af 2010 while those in the Northern hamisnhere admi
ered the
