Number of teachers Number of new teacher hires
Control Control
Year Total Public Private Total Public Private
Actual
"1996 3,051 2,667 384 - al al"
"1997 3,138 2,746 391 - al -"
"1998 3,230 2,830 400 - al -"
"1999 3,319 2,911 408 305 222 83"
"2000 3,366 2,941 424 - al -"
"2001 3,440 3,000 444 - al -"
"2002 3,476 3,034 442 - _ -"
"2003 3,490 3,049 444 311 236 74"
"2004 3,536, 3,091 445 - al -"
"2005 3,593 3,143, 450 - al -"
"2006 3,619 3,166 453 - al -"
"2007 3,634 3,178 456 327 246 80"
"2008 3,667 3,219 448 386 310 76"
"2009 3,647 3,210 437 358 289 69"
"2010 3,653 3,210 443 385 301 84"
Projected
"2011 3,679 3,246 432 407 339 69"
"2012 3,711 3,283, 428 416 344 72"
"2013 3,738 3,312 426 414 340 74"
"2014 3,782 3,357 425 434 359 75"
"2015 3,830 3,403, 427 441 364 78"
"2016 3,881 3,451 430 448 369 79"
"2017 3,935 3,500 434 454 373 81"
"2018 3,988 3,549 439 459 377 82"
"2019 4,045 3,601 444 467 383 84"
"2020 4,102 3,651 451 472 386 86"
"2021 4,151 3,694 457 470 384 87"
— Not available.
Cinna tha hiannial Private Gahan! latin
