weary wey
cp ne pene Lnwuesntary ana secondary education: School years 1996-97 through 2021-22
Current expenditures
Constant 2008-09 dollars Current dollars
ADA Total Total
School year (in thousands) (in billions) Per pupil in ADA (in billions) Per pupil in ADA
Actual
"1996-97 42,262 $375.9 $8,895 $270.2 $6,393"
"1997-98 42,766 390.2 9,125 285.5 6,676"
"1998-99 43,187 407.0 9,423 302.9 7,013"
"1999-2000 43,807 423.0 9,656 323.9 7,394"
"2000-01 44,076 440.0 9,982 348.4 7,904"
"2001-02 44,605 457.1 10,249 368.4 8,259"
"2002-03 45,017 470.6 10,454 387.6 8,610"
"2003-04 45,326 479.2 10,573 403.4 8,900"
"2004-05 45,625 490.2 10,745 425.0 9,316"
"2005-06 45,932 499.2 10,867 449.1 9,778"
"2006-07 46,133 516.5 11,196 476.8 10,336"
"2007-08 46,156 529.4 11,471 506.9 10,982"
"2008-09 46,213 534.6 11,568. 519.0 11,231"
Projected
"2009-10 46,176 519.3 11,246 519.3 11,246"
"2010-11 46,280 539.5 11,657 539.4 11,655,"
"2011-12 46,422 541.6 11,668 556.0 11,976"
"2012-13 46,602 548.7 11,775 571.4 12,261"
"2013-14 46,825 556.8 11,890 591.3 12,628"
"2014-15 47,143 571.3 12,119 619.1 13,132"
"2015-16 47,486 585.6 12,332 al al"
"2016-17 47,834 599.0 12,522 al al"
"2017-18 48,188 612.5 12,711 al al"
"2018-19 48,521 625.5 12,892 al al"
"2019-20 48,876 639.8 13,091 al -"
"2020-21 49,276 654.5 13,283 al -"
"2021-22 49,674 665.5 13,397 = ="
— Not available: projections in current dollars are not shown after 2014-15 due to uncertain behavior of inflation over time.
“h- Caneimer Price Index (CPI) for all urban consumers. Bureau of Labor Statistics. U.S. Department of Labor. For more detail about CPI.
