_-ublic elementary and secondary education: ouinwe. you~ ---
Current expenditures
Constant 2010-11 dollars Current dollars
Fall enrollment Total Per pupil Total Per pupil
School year (in thousands) (in billions) in fall enrollment (in billions) in fall enrollment
Actual
"1996-97 45,611 $375.9 $8,242 $270.2 $5,923"
"1997-98 46,127 390.2 8,460 285.5 6,189"
"1998-99 46,539 407.0 8,745 302.9 6,508"
"1999-2000 46,857 423.0 9,028 323.9 6,912"
"2000-01 47,204 440.0 9,321 348.4 7,380"
"2001-02 47,672 457.1 9,589 368.4 7,727"
"2002-03 48,183 470.6 9,767 387.6 8,044"
"2003-04 48,540 479.2 9,873 403.4 8,310"
"2004-05 48,795 490.2 10,047 425.0 8,711"
"2005-06 49,113 499.2 10,163 449.1 9,145,"
"2006-07 49,262 516.5 10,473 476.8 9,669"
"2007-08 49,221 529.4 10,741 506.9 10,283"
"2008-09 49,003 534.6 10,909 519.0 10,591"
Projected
"2009-10 49,373 519.3 10,518 519.3 10,518"
"2010-11 49,484 539.5 10,902 539.4 10,901"
"2011-12 49,636 541.6 10,912 556.0 11,201"
"2012-13 49,828 548.7 11,012 571.4 11,467"
"2013-14 50,067 556.8 11,121 591.3 11,810"
"2014-15 50,407 571.3 11,335 619.1 12,281"
"2015-16 50,773 585.6 11,534 - -"
"2016-17 51,146 599.0 11,711 - -"
"2017-18 51,524 612.5 11,888 - -"
"2018-19 51,880 625.5 12,058 - -"
"2019-20 52,260 639.8 12,243 - -"
"2020-21 52,688 654.5 12,423 - -"
"2021-22 53,113 665.5 12,530 = ="
shins neninatinne in currant dollars are not shown after 2014-15 due to uncertain behavior of inflation over time.
~ Tt tse TE Manartmant af | abor. For more detail about CP
