Race/ethnicity
Asian/ American ‘Two or
Pacific Indian/ more
Year Total White Black Hispanic Islander Alaska Native races
Actual
"1996 45,611 29,217 7,707 6,429 1,731 527 al"
"1997 46,127 29,241 7,851 6,705 1,796 535 al"
"1998 46,539 29,217 7,935, 7,007 1,846 534 al"
"1999 46,857 29,032 8,054 7,337 1,892 542 al"
"2000 47,204 28,873 8,099 7,733 1,949 550 -"
"2001 47,672 28,731 8,176 8,175 2,026 563 -"
"2002 48,183 28,614 8,297 8,601 2,088 583 -"
"2003 48,540 28,438 8,347 9,018 2,144 593 -"
"2004 48,795 28,186 8,400 9,415 2,204 591 -"
"2005 49,113 28,001 8,443 9,794 2,278 598 -"
"2006 49,316 27,797 8,421 10,171 2,331 595 al"
"2007 49,293 27,454 8,392 10,457 2,396 594 -"
"2008 49,266 27,057 8,358. 10,569 2,449 589 244"
"2009 49,373 26,753 8,282 10,918 2,492 593 335"
"2010 49,484 25,932 7,916 11,444 2,466 566 1,161"
Projected
"2011 49,636 25,755 7,902 11,673 2,535, 573 1,197"
"2012 49,828 25,627 7,877 11,920 2,595, 576 1,233"
"2013 50,067 25,525 7,876 12,161 2,653 582 1,270"
"2014 50,407 25,455 7,913 12,427 2,716 590 1,306"
"2015 50,773 25,417 7,949 12,688 2,777 600 1,344"
"2016 51,146 25,379 7,991 12,945 2,842 608 1,380"
"2017 51,524 25,350 8,035 13,200 2,906 618 1,416"
"2018 51,880 25,320 8,077 13,445 2,959 627 1,452"
"2019 52,260 25,311 8,135 13,676 3,015 638 1,486"
"2020 52,688 25,329 8,200 13,921 3,070 648 1,521"
"2021 53,113 25,338 8,273 14,170 3,117 658 1,557"
"— Not available. Prior to 2008, “two or more races” was not an available category."
