0,1,2,3,4,5,6
Age grou,No.,No.,(95% CI),No.,Rate,(95% CI)
(yrs),Rate,Rate,No.,"4,316",24.1,(23.4-24.8)
Women,(95% CI),91,Rate,"10,137",73.8,(72.3-75.2)
45-54,47,8.7,(95% CI),"19,287",221.0,(217.9-224.1)
55-64,21.8,224,(7.0-10.6),"50,538",740.4,(733.9-746.8)
65-74,(16.0-29.0),31.9,"1,564","89,442","2,761.6","2,743.6-2,779.7)"
75-84,116,527,56.0,".73,720",344.3,(342.6-345.9)
285,85.5,132.2,(53.2-58.8),"15,294",86.2,(84.8-87.5)
Total,(69.9–101.0),"1,056",(27.7-36.1),"27,772",212.7,(210.2-215.2)
Men,164,448.6,"2,636","36,434",483.8,(478.9-488.8)
45-54,234.9,"1,331",147.8,"60,452","1,275.5","'1,265.3–1,285.7)"
55-64,(199.0-270.9),"1,665.5",(142.1-153.4),"51,632","3,396.0","3,366.7-3,425.3)"
65-74,242,"3,229",(120.9-143.5),"191,584",429.6,(427.7-431.5)
75-84,654.1,130.9,"3,859",,,
285,(571.7-736.5),374,367.2,,,
Total,208,"39,9",(355.6–378.8),,,
Ab,"1,271.7 (1,098.9-1,444.5)",690,(421.5-475.7),,,
,777,114.0,"6,114",,,
,163.8,858,940.8,,,
,(152.3-175.3),261.7,(917.3-964.4),,,
,164,"1,191","(1,576.0-1,754.9",,,
,81.0,736.4,"7,111 2,599.5",,,
,(68.6-93.4),"1,045","2,539.1-2,660.0)",,,
,241,"2,169.9",(126.3-135.4),,,
,191.7,"4,158","21,284",,,
,(167.5-215.9),199.8,324.9,,,
,256,,(320.6–329.3),,,
,424.4,,(35.8-43.9),,,
,(372.4-476.4),,"3,140",,,
,248,,130.9,,,
,900.6,,(126.3–135.5),,,
,"(788.5–1,012.7)",,(105.5-122.5),,,
,113,,"4,890",,,
,"1,441.7",,340.1,,,
,"1,175.9–1,707.5)",,(330.6-349.7),,,
,"1,022",,(244.2-279.2),,,
,241.1,,"5,300",,,
,(226.3-255.8),,704.9,,,
,val,,(685.9-723.9),,,
,,,(694.6-778.2),,,
,,,"5,384 1,456.9",,,
,,,"1,418.0-1,495.8)",,,
,,,"2,038.3-2,301.5",,,
,,,"2,973 2,656.7",,,
,,,"2,561.2-2,752.2)",,,
,,,(193.7-205.9),,,
,,,"21,687",,,
,,,427.8,,,
,,,(422.1-433.5),,,
