0,1,2,3
Difficulty,Count,Not much,Not at all
Alcohol use,Percentage,56,391
Allergies,Count,12.0%,83.7%
Chronic illness and chronic pain,Percentage,28,398
Colds/flu/sinus,Count,6.0%,85.4%
infections,Percentage,15,425
Concern over friends,Count,3.3%,92.6%
or family,Percentage,138,238
Depression/anxiety,Count,29.7%,51.2%
Drug use,Percentage,138,203
Eating disorder,Count,29.6%,43.6%
Injury,Percentage,98,288
Harassment,Count,21.0%,61.8%
Relationship difficulties,Percentage,7,448
Sexually transmitted diseases,Count,1.5%,97.6%
Sleep difficulties,Percentage,39,409
Stress,Count,8.4%,88.1%
,Percentage,23,432
,Count,5.0%,93.5%
,Percentage,7,446
,Count,1.5%,96.7%
,Percentage,101,257
,Count,21.7%,55.2%
,Percentage,6,449
,Count,1.3%,97.8%
,Percentage,82,311
,Count,17.5%,66.5%
,Percentage,110,122
,,23.5%,26.0%
