0,1,2,3,4,5
Benchmarking education systems,Schools in,ole schools in original sample,Schools,Sampled,Students
Alberta-CAN,original sample,147,in original sample that participated,students in,assessed
Ontario-CAN,150,191,Total,participating schools,"3,789"
Quebec-CAN,200,197,Substitute,"4,292","4,561"
Maltese-MLT,200,95,schools that,"4,932","4,244"
Andalusia-ESP,99,150,schools,"4,529","3,548"
Abu Dhabi-UAE,150,165,participated,"3,942","4,333"
Dubai-UAE,168,139,143,"4,652","4,146"
Florida-USA,152,80,2,"4,308","6,061"
NOTE: Education,81,iste id E,145,"6,497 3,052","2,598"
,thern her,,188,,the
,,,1,,
,,,189,,
,,,189,,
,,,1,,
,,,190,,
,,,95,,
,,,95,,
,,,149,,
,,,149,,
,,,164,,
,,,164,,
,,,138,,
,,,138,,
,,,77,,
,,,77,,
,,,11 in th,,
,,,"of 2010, while tho:",,
