0,1,2,3,4,5,6,7,8,9
Year,PK-12,Total,9-12,PK-12,Public,9-12,PK-12,Private,9-12
Actual,"51,544 52,071 52,526 52,875 53,373 53,992 54,403 54,639 54,882 55,187 55,307 55,203 54,973 54,862 54,876",PK-8,"14,062 14,275","45,611 46,127 46,539 46,857 47,204",PK-8,"12,849 13,056 13,195","5,933 5,944",PK-8,"1,213 1,219 1,240 1,254 1,292"
1996,"54,956 55,091 55,288 55,599 55,957 56,330 56,722 57,098 57,507 57,975 58,444","37,481 37,797 38,091 38,251","14,435","47,672","32,762 33,071 33,344 33,486 33,686 33,936 34,114 34,201 34,178 34,204 34,235 34,205 34,286 34,418 34,625","13,371","5,988","4,719 4,726 4,747","1,327 1,335 1,338 1,356 1,374 1,388 1,394 1,373 1,338 1,300"
1997,,"38,564","14,625","48,183 48,540 48,795","34,849 35,076 35,301 35,502","13,517 13,736 14,069","6,018","4,764","1,260 1,224 1,188 1,155 1,130 1,100 1,076 1,061 1,054 1,059 1,068"
1998,,"38,929 39,000 38,962 38,908 38,903 38,838 38,722 38,620 38,569 38,716","14,809","49,113 49,316 49,293 49,266 49,373","35,735 36,029","14,339","6,169","4,877",
1999,,"38,909 39,115 39,334 39,539 39,788 40,114 40,451 40,797 41,149 41,506 41,861","15,063","49,484","36,329 36,639 36,956 37,278 37,598","14,618 14,909 15,081 15,087 14,980 14,955 14,860","6,320 6,220","4,993",
2000,,,"15,404","49,636 49,828 50,067 50,407 50,773 51,146 51,524",,"14,787","6,099","4,886",
2001,,,"15,678","51,880 52,260 52,688 53,113",,"14,752 14,766","6,087","4,761",
2002,,,"15,974 16,283 16,469 16,481 16,353",,,"14,905","6,073","4,731 4,699 4,604",
2003,,,"16,293",,,"15,038","5,991","4,517 4,335 4,151 4,091",
2004,,,"16,160",,,"15,116 15,195","5,910 5,707","4,060 4,039 4,033 4,037 4,053 4,085",
2005,,,"16,047",,,"15,241 15,304 15,410 15,515","5,488 5,391","4,122",
2006,,,"15,976 15,954",,,,"5,320","4,158 4,193 4,228",
2007,,,"16,060",,,,"5,263 5,221","4,263",
2008,,,"16,169 16,217 16,271 16,301 16,358",,,,"5,192 5,183 5,185 5,198 5,218 5,247",,
2009,,,"16,469",,,,"5,287",,
2010,,,"16,583",,,,"5,331",,
Projected,,,,,,,,,
2011,,,,,,,,,
2012,,,,,,,,,
2013,,,,,,,,,
2014,,,,,,,,,
2015,,,,,,,,,
2016,,,,,,,,,
2017,,,,,,,,,
2018,,,,,,,,,
2019,,,,,,,,,
2020,,,,,,,,,
2021,,,,,,,,,
