0,1,2,3
Table 4. Among 1992–93 ba borrowed for grad di tribution of am cł aracteristics: 20,Percent,Average,Less thar
Student and institutional characteristics,who,amount,"00- $15,000– $30,000"
Total,borrowed,"$33,200","$55,000"
Tpe of degree-granting institution Public 4-year Non-doctorate-granting Doctorate-granting Private not-for-profit 4-year Non-doctorate-granting Doctorate-granting Other,44.8,"31,200 25,000","$10,000"
Undergraduate major Business and management,44.4 40.0,"33,900 36,600 31,300 42,300 31,900","14,999"
Education,46.5,"28,700 23,000 47,400 32,800 28,100","29,999"
"Engineering, mathematics, or science Humanities or social sciences",45.9 46.1 45.7 41.3,"36,900 30,300 29,200 28,700 35,100","54,999"
Other,34.3 34.3,"19,900 43,700 69,200",or more
Amount borrowed (undergraduate),47.1,"23,300 22,900 44,100 75,500",23.2
Did not borrow,52.8,,10.3
"Less than $5,000 $5,000–9,999 $10,000–14,999 $15,000 or more",47.4,,27.0
Highest enrollment after bachelor's degree by 2003 Master's degree Doctoral degree First-professional degree,36.0,,20.1
Highest degree earned by 2003 Bachelor's degree Master's degree Doctoral degree First-professional degree,45.7,,19.4
OTE,56.3,,25.5
nenf-anir,54.7,,10.2 11.3 9.7
,58.4,,26.9
,37.9 63.1,,19.3
,71.8,,18.1
,32.3 45.4,,27.3 24.7
,64.3 78.8,,18.3 19.8
,,,32.4
,,,10.7 21.2
,,,24.6
,,,20.3
,,,10.3
,,,25.7
,,,21.8
,,,21.8 17.1 26.8 18.8
,,,24.8
,,,8.9
,,,27.5
,,,21.6
,,,11.8
,,,15.5 11.2
,,,23.8 43.2
,,,22.1
,,,11.2
,,,15.7
,,,16.5 11.8
,,,28.1
,,,7.1
,,,28.9
,,,19.4
,,,37.4
,,,12.5
,,,25.5
,,,12.9
,,,19.1
,,,8.7
,,,19.2 31.3
,,,19.7
,,,33.4
,,,8.5 14.3
,,,20.0
,,,21.5
,,,18.7
,,,21.6
,,,28.0
,,,22.9
,,,13.2
,,,19.3 29.7 28.0
,,,7.7 9.5
,,,26.5 28.4
,,,22.7
,,,23.9
,,,17.3
,,,15.2
,,,13.0
,,,31.0
,,,12.9
,,,15.1
,,,25.7
,,,16.1
,,,23.6
,,,19.4
,,,15.3 21.3
,,,18.7
,,,9.9
,,,25.3
,,,24.9
,,,30.0
,,,13.2
,,,33.5
,,,18.9
,,,4.5
,,,18.3
,,,7.6
,,,21.6
,,,21.1
,,,31.5
,,,4.6
,,,2.6
,,,9.4
,,,23.6
,,,59.9
,,,36.2 23.9
,,,11.6
,,,26.6
,,,14.4
,,,11.4
,,,12.6
,,,34.9
,,,22.7
,,,5.9
,,,21.4 2.0
,,,9.6 1.1
,,,14.7 8.2
,,,19.1 21.6
,,,35.2 67.1
