0,1,2,3
Year,Total,Public,Private
Actual,16.9,17.1 16.8,15.5
1996,16.6,16.4,15.2
1997,16.3,16.1,15.0
1998,15.9,16.0,14.7
1999,15.9,15.9,14.5
2000,15.7,15.9,14.3
2001,15.7,15.9,14.1
2002,15.7,15.8,13.8
2003,15.5,15.6,13.7
2004,15.4,15.6,13.5
2005,15.3,15.5,13.2
2006,15.2,15.3,13.0
2007,15.0,15.4,12.8
2008,15.0,15.2,12.5
2009,15.0,15.2,12.4
2010,14.9,15.2,12.3
Projected,14.8,15.1,12.3
2011,14.8,15.0,12.3
2012,14.7,14.9,12.2
2013,14.6,14.8,12.1
2014,14.5,14.7,12.1
2015,14.4,14.6,12.0
2016,14.3,14.5,11.9
2017,14.2,14.4,11.8
2018,14.1,14.4,11.7
2019,14.1,,11.7
2020,,,
2021,,,
