0,1,2,3,4,5
School year,Fall enrollment,ns,u,Total,Per pupil in fall enrollment
Actual,(in thousands),Total,Per pupil in fall enrollment,(in billions),"$5,923 6,189"
1996-97,"45,611 46,127 46,539 46,857 47,204 47,672",(in billions),"$8,242 8,460 8,745 9,028 9,321 9,589 9,767 9,873 10,047 10,163 10,473 10,741 10,909",$270.2,"6,508 6,912"
1997-98,"48,183",$375.9,"10,518 10,902 10,912 11,012 11,121 11,335 11,534 11,711 11,888 12,058 12,243 12,423",285.5,"7,380 7,727"
1998-99,"48,540 48,795 49,113 49,262 49,221 49,003",390.2,"12,530",302.9,"8,044 8,310 8,711 9,145 9,669"
1999-2000,"49,373 49,484 49,636 49,828 50,067",407.0,,323.9,"10,283 10,591"
2000-01,"50,407 50,773",423.0,,348.4,"10,518"
2001-02,"51,146",440.0,,368.4 387.6,"10,901 11,201 11,467 11,810 12,281"
2002-03,"51,524 51,880 52,260 52,688 53,113",457.1,,403.4,tail about CP
2003-04,,470.6,,425.0,||||
2004-05,,479.2,,449.1,
2005-06,,490.2 499.2,,476.8,
2006-07 2007-08,,516.5,,506.9 519.0,
2008-09,,529.4,,519.3,
Projected 2009-10,,534.6,,539.4,
2010-11,,519.3,,556.0,
2011-12,,539.5,,571.4,
2012-13,,541.6,,591.3,
2013-14,,548.7,,619.1,
2014-15,,556.8,,|||||| |,
2015-16,,571.3,,,
2016-17,,585.6,,,
2017-18,,599.0,,,
2018-19,,612.5,,,
2019-20,,625.5,,,
2020-21,,639.8,,,
2021-22,,654.5,,,
,,6E7.5,,,
