0,1,2,3,4,5,6
Characteristic,Total,unneaiti,Total,No.,"9,895",unnealuny nousing units
Sex,occupied housing units,nousing units,occupied housing units,"13,647","1,625",Unadjusted odds ratio
Male,"61,206",Unadjusted odds ratio,"60,721","12,549","1,439",(%)
Female,"49,486",No.,"51,084","17,992",433,(95% CI)
Race/Ethnicity,"78,744",(%),"79,333","3,079",120,(22.5)
"White, non-Hispanic","12,609",(95% CI),"12,739","3,847","8,097",Ref.
Hispanic,"13,437","14,037","13,609",720,"1,454",(24.6)
"Black, non-Hispanic","4,050",(22.9),"4,181",233,"2,408",1.1
Asian/Pacific Islander,707,Ref.,730,,288,(1.1-1.2)
American Indian/Alaska Native,"45,116","12,303","44,537",,113,(22.7)
"Sex, by race/ethnicity",".0,384",(24.9),"7,160",,"8,219",Ref.
Male,"7,086",1.1,"5,520",,"7,079",(24.2)
"White, non-Hispanic","1,433",(1.1-1.2),"2,577",,"4,065",1.1
Hispanic,"5,545","18,446",352,,"6,833",(1.0–1.2)
"Black, non-Hispanic","1,524",(23.4),"34,795",,"3,795",(28.3)
Asian/Pacific Islander,"2,536",Ref.,"5,580",,"6,829",(1.2–1.5)
American Indian/Alaska Native,398,"2,754","8,090",,"15,572",(17.2)
Female,348,(21.8),"1,604",,"5,538",0.7
"White, non-Hispanic",106,0.9,378,,"6,878",(0.6–0.8)
"Hispanic Black, non-Hispanic","33,628",(0.8–1.0),"49,240",,"9,088",(31.9)
Asian/Pacific Islander,"8,062","3,849","29,757",,"4,692",1.6
American Indian/Alaska Native,"5,523",(28.6),"18,557",,"1,100",(1.1-2.3)
Annual income ($),"1,321",1.3,"32,558",,"25,096",(22.2)
"<24,999","7,892",(1.2-1.4),"15,229",,"26,340",Ref.
"25,000-49,999","2,325",705,"30,692",,,(22.7)
"50,000-74,999","1,514",(17.4),"65,884",,,1.0
"275,000",308,0.7,"23,316",,,(0.9-1.2)
Education level,359,(0.6-0.8),"29,403",,,(26.1)
Less than high school,112,218,"49,372",,,1.2
High school diploma,"46,912",(30.8),"28,021",,,(1.1-1.4)
Any college education,"8,004",1.5,"3,647",,,(16.8)
U.S. Census region,"31,170",(1.0-2.1),"108,151",,,0.7
Northeast,"7,215",(23.0),"111,800",,,(0.6–0.9)
Midwest,"18,985",Ref.,,,,(34.1)
South,"4,330",(20.2),,,,1.8
West,"31,137",0.9,,,,(1.1-3.0)
Disability status,"6,791",(0.7-1.0),,,,(23.3)
Yes,"16,779",(27.5),,,,Ref.
No,"4,283",1.3,,,,(26.1)
Total,"30,559",(1.1-1.5),,,,1.2
,"6,635",(15.7),,,,(1.0–1.3)
,"63,354",0.6,,,,(29.8)
,"15,422",(0.5-0.8),,,,1.4
,"23,128",(30.4),,,,(1.3-1.6)
,"6,390",1.5,,,,(17.9)
,"29,202",(0.9-2.4),,,,0.7
,"6,426",(24.0),,,,(0.6–1.0)
,"48,324",Ref.,,,,(29.8)
,"8,889",(23.9),,,,1.4
,"27,550",1.0,,,,(0.9-2.3)
,"4,635",(0.9-1.2),,,,(26.6)
,"3,657",(29.5),,,,1.4
,987,1.3,,,,(1.3-1.5)
,"107,035",(1.2-1.5),,,,(23.8)
,"25,353",(20.3),,,,1.2
,"110,692",0.8,,,,(1.1-1.3)
,"26,196",(0.6–1.1),,,,(21.9)
,,(31.2),,,,1.1
,,1.4,,,,(1.0-1.2)
,,(0.8-2.5),,,,(21.0)
,,(27.2),,,,Ref.
,,1.3,,,,(24.9)
,,(1.2–1.5),,,,1.1
,,(23.1),,,,(1.0–1.1)
,,1.1,,,,(22.3)
,,(1.0-1.2),,,,0.9
,,(22.8),,,,(0.9-1.0)
,,1.1,,,,(23.6)
,,(1.0-1.2),,,,Ref.
,,(21.8),,,,(27.1)
,,Ref.,,,,1.6
,,(25.5),,,,(1.4–1.7)
,,1.1,,,,(27.1)
,,(1.0–1.2),,,,1.6
,,(21.7),,,,(1.4-1.7)
,,0.9,,,,(21.9)
,,(0.8-0.9),,,,1.2
,,(24.3),,,,(1.1-1.3)
,,Ref.,,,,(19.2)
,,(31.3),,,,Ref.
,,2.0,,,,(30.2)
,,(1.8-2.1),,,,1.4
,,(25.4),,,,(1.2–1.7)
,,1.5,,,,(23.2)
,,(1.3-1.6),,,,Ref.
,,(21.9),,,,(23.8)
,,1.2,,,,
,,(1.1-1.3),,,,
,,(19.0),,,,
,,Ref.,,,,
,,(27.0),,,,
,,1.2,,,,
,,(1.0–1.4),,,,
,,(23.7),,,,
,,Ref.,,,,
,,(23.4),,,,
