0,1,2,3,4,5
School year,ADA,C,irrent,Total,Per pupil in ADA
Actual,(in thousands),Total,Per pupil in ADA,(in billions),"$6,393 6,676 7,013 7,394 7,904 8,259"
1996–97,"42,262",(in billions),"$8,895 9,125 9,423 9,656",$270.2,"8,610"
1997-98,"42,766 43,187 43,807",$375.9 390.2,"9,982 10,249 10,454 10,573 10,745 10,867 11,196 11,471",285.5,"8,900 9,316 9,778"
1998–99,"44,076 44,605",407.0,"11,568",302.9,"10,336 10,982"
1999–2000,"45,017",423.0,"11,246 11,657",323.9,"11,231"
2000-01 2001-02,"45,326 45,625",440.0,"11,668",348.4,"11,246 11,655"
2002-03,"45,932 46,133 46,156 46,213",457.1,"11,775 11,890",368.4,"11,976"
2003-04,"46,176 46,280 46,422",470.6,"12,119",387.6,"12,261 12,628"
2004-05,"46,602",479.2,"12,332 12,522 12,711 12,892 13,091 13,283 13,397",403.4,"13,132"
2005-06 2006-07,"46,825 47,143 47,486 47,834",490.2,,425.0,"e detail about CPI,"
2007-08,"48,188",499.2,,449.1,
2008-09,"48,521 48,876 49,276",516.5,,476.8,
Projected 2009-10,"49,674",529.4,,506.9,
2010-11,,534.6,,519.0,
2011-12,,519.3,,519.3,
2012-13,,539.5,,539.4,
2013-14,,541.6,,556.0,
2014-15,,548.7,,571.4,
2015-16,,556.8,,591.3,
2016-17,,571.3,,619.1,
2017-18,,585.6,,,
2018-19,,599.0,,,
2019-20,,612.5,,,
2020-21,,625.5,,,
2021-22,,639.8,,,
,,654.5,,,
,,665.5,,,
