0,1,2,3
Measure,Age 4 (Head Start Year),| la 44|||| |4 |||| || ||141|,1
"Language, Literacy, and Pre-Writing Color Identification",0.16,,Grade
Pre-Writing (McCarthy Draw a Design) Emergent Literacy Scale (parent report) Letter Naming Test of Phonological Processing (CTOPPP Elision) Receptive Vocabulary (PPVT) Letter-Word Identification (WJIII),0.31,,NA
Spelling (WJIII) Oral Comprehension (WJIII) Pre-Academic Skills (WJIII) Phonetic Skills/ Word Attack (WJIII),0.25,,NA
Basic Reading (WJIII) Academic Applications (WJIII) Academic Skills (WJIII),0.09,,NA
Passage Comprehension (WJIII) ECLS-K Reading Writing Sample (WJIII) Spanish Language Receptive Vocabulary (TVIP) Batería WM Identificación de letras y palabras,0.22,,NA
Math,0.15,,NA
One-to-One Counting (Counting Bears) Applied Problems (WJIII) Quantitative Concepts (WJIII) Math Reasoning (WJIII) Calculation (WJIII),0.19,,0.09
School Performance,NA,,NA
School Accomplishments Promotion (parent report) Language and Literacy Ability Math Ability,NA,,NA
Math Skills,NA,,NA
Reading/Language Arts Skills Social Studies and Science Ability,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
,NA,,
