0,1,2,3
Education system,Schools in original sample that participated,Sampled,Students
Australia,hoo,students in,assessed
Austria,Total,participating schools,"6,126"
Azerbaijan,in original sample,"6,709","4,670"
Belgium (French)-BE Bulgaria,Schools in,"4,976","4,881"
Canada,Substitute,"5,098","3,727"
Chinese Taipei-CHN,schools that,"3,910","5,261"
Colombia,original sample,"5,725","23,206"
Croatia,schools,"25,707","4,293"
Czech Republic,participated,"4,376","3,966"
Denmark,290,"4,309","4,587"
England-GBR,284,"5,097","4,556"
Finland,275,"4,895","4,594"
France,280,"4,994","3,927"
Georgia Germany,160,"4,243","4,640"
Hong Kong-CHN Hungary,158,"4,914","4,438"
Indonesia,158,"4,638","4,796"
"Iran, Islamic Rep. Of",158,"4,958","4,000"
Ireland,170,"4,229","3,875"
Israel,169,"4,189","5,204"
Italy,142,"5,488","4,791"
Lithuania,27,"5,049","5,758"
Malta,169,"5,932","4,524"
Morocco,150,"4,849","4,186"
Netherlands,150,"4,579","4,189"
New Zealand,115,"4,529","4,661"
Northern Ireland-GBR,12,"5,140","3,598"
Norway,127,"3,958","7,805"
Oman,150,"8,381","3,995"
Poland,147,"4,179","5,644"
Portugal,142,"6,192","3,586"
Qatar,147,"3,942","3,190"
Romania,"1,142","3,921","10,394"
Russian Federation,"1,125","10,840","5,005"
Saudi Arabia,"1,106","5,316","4,085"
Singapore Slovak Republic,"1,111","4,428","4,120"
Slovenia,150,"4,394","4,665"
Spain,150,"4,879","4,461"
Sweden,150,"4,693",4.507
Trinidad and Tobago,150,"4,625","6,367"
United Arab Emirates,157,"6,687","5,630"
United States,152,"5,933","4,512"
,131,"4,674","8,580"
,19,"9,223","4,622"
,150,"5,209","3,948"
,152,"4,190","14,618"
,150,"15,372","12,726"
,152,"14,253",
,180,,
,178,,
,161,,
,16,,
,177,,
,240,,
,236,,
,207,,
,25,,
,232,,
,150,,
,148,,
,109,,
,20,,
,129,,
,150,,
,146,,
,141,,
,4,,
,145,,
,175,,
,175,,
,170,,
,174,,
,180,,
,177,,
,172,,
,1,,
,173,,
,200,,
,199,,
,190,,
,7,,
,197,,
,154,,
,150,,
,130,,
,2,,
,132,,
,150,,
,150,,
,146,,
,3,,
,149,,
,158,,
,158,,
,158,,
,158,,
,250,,
,244,,
,244,,
,244,,
,152,,
,151,,
,148,,
,3,,
,151,,
,153,,
,153,,
,150,,
,2,,
,152,,
,205,,
,205,,
,166,,
,36,,
,202,,
,160,,
,154,,
,145,,
,154,,
,99,,
,96,,
,96,,
,96,,
,289,,
,287,,
,284,,
,284,,
,151,,
,151,,
,97,,
,41,,
,138,,
,201,,
,199,,
,180,,
,12,,
,192,,
,160,,
,160,,
,100,,
,36,,
,136,,
,150,,
,145,,
,85,,
,35,,
,120,,
,338,,
,333,,
,327,,
,327,,
,150,,
,150,,
,150,,
,150,,
,150,,
,150,,
,133,,
,15,,
,148,,
,175,,
,167,,
,166,,
,166,,
,150,,
,148,,
,147,,
,1,,
,148,,
,202,,
,202,,
,202,,
,202,,
,175,,
,171,,
,163,,
,8,,
,171,,
,176,,
,176,,
,176,,
,176,,
,200,,
,198,,
,187,,
,10,,
,197,,
,202,,
,201,,
,193,,
,2,,
,195,,
,314,,
,314,,
,308,,
,4,,
,312,,
,161,,
,153,,
,148,,
,4,,
,152,,
,150,,
,150,,
,149,,
,149,,
,478,,
,460,,
,458,,
,458,,
,450,,
,437,,
,349,,
,21,,
,370,,
