0,1,2,3
Content standards taught and lassessed,Alternate Assessm.unt,Alternate Assessment Based on Modified Achievement Standards,Alternate Assessment Based on Alternate
Achievement,Based on Grade-Level Achievement Standards,Grade level,Achievement
standards,General Assessment,Modified level,Standards
Participating |students,Grade level,Students with disabilities,Grade level extensions
,Grade level,"who can make progress oward, but may not reach, grade-level achievement standards in the time",Alternate level
,Grade level,|frame covered by their IEP,Students with the most significant cognitive disabilities
,Grade level,,Current
,"All general education students, most students with disabilities (with or without accommodations)",,pecial cts/
,Students who need alternate ways to show mastery of grade-level,,
,content,,
