0,1,2,3
Variable,Mean,Std. Dev,Min
Age,50.8,15.9,Мах
Men,0.47,0.50,21
East,0.28,0.45,90
Rural,0.15,0.36,1
Married,0.57,0.50,1
Single,0.21,0.40,1
Divorced,0.13,0.33,1
Widowed,0.08,0.26,1
Separated,0.03,0.16,1
Partner,0.65,0.48,1
Employed,0.55,0.50,1
Fulltime,0.34,0.47,1
Parttime,0.20,0.40,1
Unemployed,0.08,0.28,1
Homemaker,0.19,0.40 0.45,1
Retired,0.28,1.22,1
Household size,2.43,0.48,1
Households with children,0.37,1.38,1
Number of children,1.67,0.27,1
"Lower secondary education. Upper secondary edi Post secondary, non tert. education First stage tertiary education Other education",0.08,0.49,1
Household income (Euro/month) Gross wealth - end of 2007 (Euro) Gross financial wealth end of 2007 (Euro),0.60,0.33,8
Source Sav,0.12,0.38,1
,0.17,0.17,1
,0.03,"1,389",1
,"2,127","384,198",1
,"187,281 38,855","114,128",1
,,,"22,500 7,720,000 2,870,000"
,,,22
