0,1,2,3,4
AYr ased un zu State included scores of students taking alternate assessments based on alternate achievement,Testing,"AY, Da",es,Number of
standards,State granted exceptions to districts to exceed 1% cap,State inclu.vu ucores of,State granted exceptions to districts to,districts
Yes,No,students taking alternate assessments based on,exceed 1% cap,granted exceptions
Yes,No,alternate achievement,Yes,5
Yes,Yes,standards,No,na
Yes,No,Yes,Yes,~100
Yes,No,Yes,No,na
Yes,No,Yes,Respondent,na
Yes,No,Yes,unsure,na
Yes,No,Yes,No,na
Yes,No,Yes,No,na
Yes,No,Yes,No,na
Yes,No,Yes,No,14
Yes,Yes,Yes,Yes,na
Yes,No,Yes,No,Respondent unsure
Yes,No,Yes,Yes,na
Yes,Yes,Yes,No,na
Yes,No,Yes,No,53
Yes,na,Yes,Yes,Respondent
Yes,No,Yes,Yes,unsure
Yes,No,Yes,No,na
,,Yes,Yes,Respondent
,,Yes,No,unsure
,,Yes,,na
