0,1,2,3,4,5
Measure,Age 3 (Head Start Year),0.16,K,1,NA
"Language, Literacy, and Pre-Writing",0.14,三,NA,Grade,NA
Color Identification,0.35,|||||||||:||||||||,NA,ΝΑ,| 二 ||||
Pre-Writing (McCarthy Draw a Design) Emergent Literacy Scale (parent report) Letter Naming Test of Phonological Processing (CTOPPP Elision) Receptive Vocabulary (PPVT) Letter-Word Identification (WJIII) Spelling (WJIII) Oral Comprehension (WJIII) Pre-Academic Skills (WJIII) Phonetic Skills/Word Attack (WJIII),0.24,,NA,NA,
Basic Reading (WJIII) Academic Applications (WJIII) Academic Skills (WJIII) Passage Comprehension (WJIII) ECLS-K Reading Writing Sample (WJIII) Spanish Language Receptive Vocabulary (TVIP) Batería WM Identificación de letras y palabras,0.10,,NA,NA,
Math,0.18,,ΝΑ,ΝΑ,
One-to-One Counting/Counting Bears Applied Problems (WJIII) Quantitative Concepts (WJIII) Math Reasoning (WJIII) Calculation (WJIII),0.26,,NA,NA,
School Performance,0.22,,NA,0.08,
School Accomplishments Promotion (parent report) Language and Literacy Ability Math Ability,NA,,NA,NA,
Math Skills,NA,,0.26,ΝΑ,
Reading/Language Arts Skills Social Studies and Science Ability,NA,,ΝΑ,NA,
,NA,,NA,,
,NA,,L0.19,,
,NA,,NA,,
,NA,,ΝΑ,,
,0.15,,,,
,NA,,,,
,NA,,,,
,NA,,,,
,NA,,,,
,NA,,,,
,NA,,,,
,NA,,,,
,NA,,,,
,NA,,,,
,NA,,,,
