0,1
Education system,Ieil: 21 I
Australia,Combinea
Austria,Percentage of international
Azerbaijan,veighted school participation
Belgium (French)-BE Bulgaria,vveighted school participation rate exclusion rate before substitution
Canada,Neighted school participation rate Weighted student after substitution
Chinese Taipei-CHN,Ivational desired
Colombia,desired population population overall
Croatia,and student
Czech Republic,coverage
Denmark,response rate
England-GBR,response rate
Finland,100
France,96
Georgia,98
Germany,95
Hong Kong-CHN,93
Hungary Indonesia,100
"Iran, Islamic Rep. Of Ireland",100
Israel,100
Italy,98
Lithuania,98
Malta,100
Morocco,7
Netherlands,84
New Zealand,100
Northern Ireland-GBR,100
Norway Oman,100
Poland,100
Portugal,77
Qatar,85
Romania,97
Russian Federation,82
Saudi Arabia,100
Singapore Slovak Republic,97
Slovenia,100
Spain,95
Sweden,95
Trinidad and Tobago,100
United Arab Emirates,10
United States,98
ble.,98
,96
,94
,100
,1
,100
,100
,99
,99
,100
,2
,89
,99
,97
,95
,100
,8
,99
,100
,95
,95
,100
,90
,99
,94
,94
,100
,7
,87
,98
,97
,95
,100
,73
,87
,94
,82
,100
,3
,97
,99
,96
,95
,100
,98
,100
,98
,97
,92
,97
,98
,98
,96
,100
,96
,99
,96
,95
,100
,12
,86
,88
,94
,83
,100
,4
,98
,99
,97
,96
,100
,3
,100
,100
,97
,97
,100
,100
,100
,99
,99
,100
,3
,98
,100
,95
,95
,100
,25
,98
,99
,94
,93
,100
,81
,98
,96
,95
,93
,94
,100
,94
,94
,100
,4
,100
,100
,95
,95
,100
,99
,99
,96
,95
,100
,68
,92
,97
,89
,100
,3
,93
,99
,94
,93
,100
,62
,85
,93
,79
,100
,4
,57
,83
,86
,71
,100
,98
,98
,98
,96
,100
,4
,100
,100
,96
,96
,100
,3
,87
,99
,95
,93
,100
,6
,100
,100
,99
,99
,100
,99
,100
,97
,97
,100
,100
,100
,98
,98
,100
,2
,95
,100
,98
,98
,100
,100
,100
,96
,96
,100
,95
,99
,97
,96
,100
,3
,96
,97
,97
,95
,100
,96
,99
,97
,96
,100
,4
,97
,99
,92
,91
,100
,1
,99
,99
,96
,95
,100
,3
,100
,100
,97
,97
,100
,7
,80
,85
,96
,81
