0,1,2,3,4,5
Number financial,Reclassification,Reciassincation from Available for loans,Reclassification,Reciassification,Total
of,from Fair value through profit and loss,Sale and,from Fair value through profit and Available sale,from Fair value,81
companies who applied the option for this category Percentage of all,to,to,loss,through profit and Held,100%
financial companies analysed who the,loans receivables,receivables,to,loss,19
applied option for this category Number financial,and,16,for,to,
of,27,20%,23,to,
companies,33%,,28%,Maturity,
where,8,,6,15,
the,,,,19%,
disclosure,,,,2,
requirements,,,,,
were stricter,,,,,
